sync-consumer-1  | 2025-07-23T21:33:20.038158693Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=40 deal_id=2507 person_id=1314
sync-consumer-1  | 2025-07-23T21:33:20.038161033Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2507
sync-consumer-1  | 2025-07-23T21:33:20.038163553Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=41 deal_id=2507 person_id=1314
sync-consumer-1  | 2025-07-23T21:33:20.038165893Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2507
sync-consumer-1  | 2025-07-23T21:33:20.038168233Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=42 deal_id=2497 person_id=1304
sync-consumer-1  | 2025-07-23T21:33:20.038170663Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2497
sync-consumer-1  | 2025-07-23T21:33:20.038173723Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=44 deal_id=2496 person_id=1303
sync-consumer-1  | 2025-07-23T21:33:20.038176063Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2496
sync-consumer-1  | 2025-07-23T21:33:20.038178493Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=45 deal_id=2496 person_id=1303
sync-consumer-1  | 2025-07-23T21:33:20.038181013Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2496
sync-consumer-1  | 2025-07-23T21:33:20.038183353Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=46 deal_id=2473 person_id=1280
sync-consumer-1  | 2025-07-23T21:33:20.038185693Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2473
sync-consumer-1  | 2025-07-23T21:33:20.038188933Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=47 deal_id=2473 person_id=1280
sync-consumer-1  | 2025-07-23T21:33:20.038191453Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2473
sync-consumer-1  | 2025-07-23T21:33:20.038193793Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=48 deal_id=2454 person_id=1261
sync-consumer-1  | 2025-07-23T21:33:20.038196223Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2454
sync-consumer-1  | 2025-07-23T21:33:20.039304663Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=49 deal_id=2454 person_id=1261
sync-consumer-1  | 2025-07-23T21:33:20.039510943Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2454
sync-consumer-1  | 2025-07-23T21:33:20.039931603Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=50 deal_id=2453 person_id=1260
sync-consumer-1  | 2025-07-23T21:33:20.040068583Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2453
sync-consumer-1  | 2025-07-23T21:33:20.040149493Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=51 deal_id=2453 person_id=1260
sync-consumer-1  | 2025-07-23T21:33:20.046032343Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2453
sync-consumer-1  | 2025-07-23T21:33:20.046054663Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=52 deal_id=2365 person_id=1172
sync-consumer-1  | 2025-07-23T21:33:20.046068343Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2365
sync-consumer-1  | 2025-07-23T21:33:20.046071223Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=53 deal_id=2365 person_id=1172
sync-consumer-1  | 2025-07-23T21:33:20.046073743Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2365
sync-consumer-1  | 2025-07-23T21:33:20.046076173Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=54 deal_id=2349 person_id=1156
sync-consumer-1  | 2025-07-23T21:33:20.046078603Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2349
sync-consumer-1  | 2025-07-23T21:33:20.046081123Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=55 deal_id=2349 person_id=1156
sync-consumer-1  | 2025-07-23T21:33:20.046083463Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2349
sync-consumer-1  | 2025-07-23T21:33:20.046085893Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=56 deal_id=2454 person_id=1261
sync-consumer-1  | 2025-07-23T21:33:20.046088233Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2454
sync-consumer-1  | 2025-07-23T21:33:20.046090663Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=57 deal_id=2496 person_id=1303
sync-consumer-1  | 2025-07-23T21:33:20.046093183Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2496
sync-consumer-1  | 2025-07-23T21:33:20.046095523Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=58 deal_id=2506 person_id=1313
sync-consumer-1  | 2025-07-23T21:33:20.046097863Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2506
sync-consumer-1  | 2025-07-23T21:33:20.046100203Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=59 deal_id=2506 person_id=1313
sync-consumer-1  | 2025-07-23T21:33:20.046102633Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2506
